LNR,RESPONSE
1754,0.727012644
1770,0.359790327
1465,0.048329847
1470,0.154643015
1478,0.139052491
1782,0.090575496
1485,0.283518747
1519,0.366984874
1835,0.319235785
1522,0.082848553
1539,0.292623231
1853,0.456526359
1856,0.476925961
2502,0.119095546
2182,0.579273165
2191,0.262206086
2522,0.394043861
2530,0.726887814
2215,0.387427176
2550,0.311309817
2570,0.492278313
2574,0.692404255
2579,0.085169997
2247,0.757008943
2674,0.071724953
11434,0.077344956
11122,0.520115868
11127,0.589888662
11443,0.590861805
11170,0.518100836
11191,0.072643549
11198,0.546926776
10936,0.334559463
11244,0.403900555
11247,0.493170164
11252,0.157339912
11259,0.51710942
10945,0.107829282
10951,0.116830124
11271,0.620700489
10963,0.196230504
11282,0.120959154
11291,0.436738068
10980,0.1084408
10994,0.552094141
10998,0.518100836
11303,0.645475855
11630,0.434017379
11636,0.100784311
11949,0.325649564
11950,0.650195285
11956,0.700204263
11648,0.518100836
11653,0.720794512
11967,0.292204397
11972,0.147965108
11975,0.15418239
12110,0.373792398
12113,0.72379484
11712,0.239948809
11716,0.334559463
12000,0.099511891
11722,0.417293898
12023,0.518100836
12046,0.148844703
11762,0.51710942
12071,0.360444337
12077,0.348059318
11785,0.143061965
11788,0.176741222
11790,0.108765346
11800,0.455759769
11806,0.428446034
11816,0.25925835
11505,0.366159938
11837,0.197567151
11531,0.575668351
11848,0.170581449
11854,0.258005329
11877,0.144090096
11563,0.47730076
11567,0.110381972
11894,0.674921338
11906,0.696635154
11917,0.518100836
11610,0.518100836
11923,0.64099885
12596,0.157072085
12603,0.105157704
12608,0.402581055
12633,0.122576118
12637,0.493594257
21484,0.51710942
21184,0.464607715
21247,0.421187935
20991,0.699202941
21018,0.115880026
21019,0.7556659
21047,0.191684522
21054,0.742159046
21374,0.111509654
21392,0.44742871
21713,0.500884466
22019,0.487379615
22025,0.654754866
21722,0.647962772
21728,0.53969738
22039,0.518100836
22044,0.202445939
61900,0.248345366
62548,0.690284367
63176,0.395238227
64473,0.49081988
64779,0.582994464
64780,0.083300854
64784,0.074550348
65105,0.518100836
65431,0.633214651
65433,0.639666696
66055,0.0957125
66071,0.518100836
61280,0.231940883
61281,0.698433043
61284,0.117802974
61597,0.757008943
61606,0.099445149
62235,0.532526116
62240,0.11590688
62241,0.06698736
62555,0.729243274
62557,0.545085749
62565,0.157245248
62566,0.753341757
63515,0.082979229
63524,0.751113932
64797,0.192960377
65116,0.334559463
75249,0.156964522
75253,0.708475894
75575,0.552430334
76212,0.103557002
71422,0.314332638
72059,0.229704292
72060,0.236867456
72383,0.17786113
72386,0.12058041
72700,0.109782114
72715,0.329211222
73028,0.399225923
73346,0.08234886
73658,0.412278457
73662,0.735760417
73666,0.552430334
73668,0.552008906
73985,0.733612416
74299,0.421260348
74310,0.570125732
74312,0.757008943
74619,0.094269147
74620,0.095852284
74627,0.152545327
74938,0.092434244
74952,0.073499613
75911,0.519737529
75913,0.061849232
76221,0.146157695
76227,0.077985075
71448,0.137422242
15887,0.207600141
15498,0.12213656
15504,0.553509071
15507,0.099675108
15521,0.43937647
24403,0.658516508
24100,0.756334391
24436,0.686693125
24440,0.368640373
24442,0.334559463
24148,0.470760439
24149,0.119379715
24155,0.369686593
24458,0.081613769
24169,0.591211486
24477,0.336100186
24479,0.079687192
24486,0.095808844
24190,0.644796662
24515,0.467035771
24214,0.740467862
25183,0.518100836
25207,0.10466128
24889,0.752591559
24890,0.177777592
25226,0.39121098
25232,0.548074422
25244,0.258293256
25339,0.136760104
25355,0.137194306
24958,0.086770026
25277,0.260256072
25286,0.485361902
24988,0.518100836
25298,0.064411506
25309,0.576856727
25315,0.076482924
25014,0.552430334
25322,0.191052044
25333,0.749499638
25025,0.547573399
24726,0.362631516
24735,0.51710942
25055,0.419844592
25056,0.063309472
24746,0.48275527
25061,0.073152129
25067,0.062004881
25074,0.131280298
24773,0.188769585
25080,0.51710942
25086,0.516097229
25088,0.261733423
24777,0.462213994
24796,0.726957224
25104,0.105016705
24806,0.086961183
25118,0.073408309
24822,0.552430334
82811,0.464613836
83449,0.579686303
83459,0.51710942
83770,0.518100836
84091,0.453066142
84096,0.409863349
84737,0.246100947
85048,0.517723107
85049,0.394427481
85051,0.121487815
85369,0.222685847
85374,0.401116947
85380,0.590823209
82190,0.395634762
82505,0.539085626
82515,0.076916587
82517,0.178118936
82821,0.551993233
83140,0.552008906
788,0.110380571
1102,0.677973879
1109,0.086869202
821,0.288754786
829,0.21657244
837,0.613060818
845,0.550055949
1163,0.757008943
861,0.51710942
899,0.100006366
1207,0.437984482
906,0.073894221
1221,0.454047257
1545,0.368672116
1546,0.626784425
1555,0.227180176
1556,0.708407476
1879,0.287809863
1885,0.313823734
1593,0.072050652
1902,0.273258645
1611,0.257937802
1921,0.086475571
1927,0.193251805
1651,0.418069271
1978,0.653284422
1718,0.114140431
1722,0.105003151
1734,0.467733417
41705,0.530693111
41711,0.518100836
41712,0.693619104
42029,0.101791517
42347,0.288961432
42352,0.083047721
42353,0.073097239
42671,0.569485169
42987,0.289885664
43310,0.128423848
43627,0.08208617
43629,0.068406948
43945,0.533774029
43953,0.514189717
43954,0.497791365
43961,0.117670514
44280,0.181019745
44917,0.133488456
44924,0.581066413
44927,0.248811403
45244,0.362376401
45570,0.725570411
